2025-07-15 03:01:52,184 - DEBUG - 日志配置完毕
2025-07-15 03:01:52,184 - DEBUG - ============================================================
2025-07-15 03:01:53,659 - INFO - tokens per iteration will be: 491,520
2025-07-15 03:01:53,659 - INFO - found vocab_size = 3075 (inside data\meta.pkl)
2025-07-15 03:01:53,659 - INFO - Initializing a new model from scratch
2025-07-15 03:02:33,584 - INFO - step 0: train loss 8.1719, val loss 8.1681
2025-07-15 03:13:47,520 - INFO - iter 58: loss 5.7539, time 11513.07ms, mfu 8.77%
2025-07-15 03:13:59,123 - INFO - iter 59: loss 5.7902, time 11594.61ms, mfu 8.76%
2025-07-15 03:14:10,734 - INFO - iter 60: loss 5.7240, time 11615.93ms, mfu 8.75%
2025-07-15 03:14:22,182 - INFO - iter 61: loss 5.6011, time 11449.98ms, mfu 8.75%
2025-07-15 03:14:33,680 - INFO - iter 62: loss 5.7297, time 11495.79ms, mfu 8.75%
2025-07-15 03:14:45,204 - INFO - iter 63: loss 5.6373, time 11524.51ms, mfu 8.75%
2025-07-15 03:14:56,601 - INFO - iter 64: loss 5.6304, time 11395.23ms, mfu 8.75%
2025-07-15 03:15:08,170 - INFO - iter 65: loss 5.6298, time 11570.69ms, mfu 8.74%
2025-07-15 03:15:19,548 - INFO - iter 66: loss 5.6814, time 11378.95ms, mfu 8.75%
2025-07-15 03:15:31,026 - INFO - iter 67: loss 5.6106, time 11474.94ms, mfu 8.75%
2025-07-15 03:15:42,580 - INFO - iter 68: loss 5.5855, time 11558.54ms, mfu 8.74%
2025-07-15 03:15:54,014 - INFO - iter 69: loss 5.5138, time 11431.90ms, mfu 8.75%
2025-07-15 03:16:05,416 - INFO - iter 70: loss 5.5586, time 11402.25ms, mfu 8.75%
2025-07-15 03:16:16,792 - INFO - iter 71: loss 5.5068, time 11375.03ms, mfu 8.76%
2025-07-15 03:16:28,160 - INFO - iter 72: loss 5.3760, time 11368.71ms, mfu 8.77%
2025-07-15 03:16:39,515 - INFO - iter 73: loss 5.5657, time 11354.81ms, mfu 8.77%
2025-07-15 03:16:50,905 - INFO - iter 74: loss 5.4199, time 11389.54ms, mfu 8.78%
2025-07-15 03:17:02,453 - INFO - iter 75: loss 5.3173, time 11548.19ms, mfu 8.77%
2025-07-15 03:17:13,840 - INFO - iter 76: loss 5.4349, time 11388.03ms, mfu 8.77%
2025-07-15 03:17:25,245 - INFO - iter 77: loss 5.4789, time 11404.77ms, mfu 8.78%
2025-07-15 03:17:36,615 - INFO - iter 78: loss 5.3893, time 11369.99ms, mfu 8.78%
2025-07-15 03:17:48,000 - INFO - iter 79: loss 5.2671, time 11384.16ms, mfu 8.79%
2025-07-15 03:17:59,493 - INFO - iter 80: loss 5.4571, time 11492.21ms, mfu 8.78%
2025-07-15 03:18:10,928 - INFO - iter 81: loss 5.2026, time 11435.76ms, mfu 8.78%
2025-07-15 03:18:22,311 - INFO - iter 82: loss 5.2552, time 11382.65ms, mfu 8.78%
2025-07-15 03:18:33,668 - INFO - iter 83: loss 5.2605, time 11357.17ms, mfu 8.79%
2025-07-15 03:18:45,112 - INFO - iter 84: loss 5.2620, time 11446.17ms, mfu 8.79%
2025-07-15 03:18:56,494 - INFO - iter 85: loss 5.1348, time 11380.30ms, mfu 8.79%
2025-07-15 03:19:07,928 - INFO - iter 86: loss 5.2064, time 11433.72ms, mfu 8.79%
2025-07-15 03:19:19,407 - INFO - iter 87: loss 5.1571, time 11477.71ms, mfu 8.78%
2025-07-15 03:19:31,000 - INFO - iter 88: loss 5.1235, time 11594.33ms, mfu 8.77%
2025-07-15 03:19:42,558 - INFO - iter 89: loss 5.1828, time 11559.35ms, mfu 8.76%
2025-07-15 03:19:53,981 - INFO - iter 90: loss 5.1700, time 11421.08ms, mfu 8.77%
2025-07-15 03:20:05,353 - INFO - iter 91: loss 5.0181, time 11373.43ms, mfu 8.77%
2025-07-15 03:20:16,717 - INFO - iter 92: loss 5.0848, time 11367.36ms, mfu 8.78%
2025-07-15 03:20:28,080 - INFO - iter 93: loss 4.9492, time 11358.65ms, mfu 8.78%
2025-07-15 03:20:39,486 - INFO - iter 94: loss 4.9887, time 11405.76ms, mfu 8.79%
2025-07-15 03:20:50,896 - INFO - iter 95: loss 5.0109, time 11413.93ms, mfu 8.79%
2025-07-15 03:21:02,312 - INFO - iter 96: loss 5.0680, time 11415.69ms, mfu 8.79%
2025-07-15 03:21:13,702 - INFO - iter 97: loss 4.8916, time 11387.25ms, mfu 8.79%
2025-07-15 03:21:25,059 - INFO - iter 98: loss 4.9056, time 11356.88ms, mfu 8.79%
