2025-07-15 17:18:55,299 - DEBUG - 日志配置完毕
2025-07-15 17:18:55,299 - DEBUG - ============================================================
2025-07-15 17:19:00,213 - INFO - tokens per iteration will be: 491,520
2025-07-15 17:19:00,237 - INFO - found vocab_size = 3075 (inside data\meta.pkl)
2025-07-15 17:19:00,237 - INFO - Initializing a new model from scratch
2025-07-15 17:19:39,971 - INFO - step 0: train loss 8.1719, val loss 8.1681
2025-07-15 17:19:51,427 - INFO - iter 0: loss 8.1662, time 50269.59ms, mfu -100.00%
2025-07-15 17:20:02,748 - INFO - iter 1: loss 8.1486, time 11325.31ms, mfu -100.00%
2025-07-15 17:20:14,068 - INFO - iter 2: loss 8.1242, time 11325.50ms, mfu -100.00%
2025-07-15 17:20:25,395 - INFO - iter 3: loss 8.0584, time 11322.48ms, mfu -100.00%
2025-07-15 17:20:36,723 - INFO - iter 4: loss 8.0027, time 11333.08ms, mfu -100.00%
2025-07-15 17:20:48,060 - INFO - iter 5: loss 7.9116, time 11337.89ms, mfu 8.85%
2025-07-15 17:20:59,390 - INFO - iter 6: loss 7.8462, time 11321.46ms, mfu 8.85%
2025-07-15 17:21:10,705 - INFO - iter 7: loss 7.7393, time 11318.60ms, mfu 8.86%
2025-07-15 17:21:22,030 - INFO - iter 8: loss 7.6819, time 11325.09ms, mfu 8.86%
2025-07-15 17:21:33,398 - INFO - iter 9: loss 7.5795, time 11368.22ms, mfu 8.85%
2025-07-15 17:21:44,719 - INFO - iter 10: loss 7.5449, time 11323.11ms, mfu 8.85%
2025-07-15 17:21:56,097 - INFO - iter 11: loss 7.4476, time 11373.79ms, mfu 8.85%
2025-07-15 17:22:07,464 - INFO - iter 12: loss 7.4039, time 11369.25ms, mfu 8.85%
2025-07-15 17:22:18,818 - INFO - iter 13: loss 7.3501, time 11359.45ms, mfu 8.85%
2025-07-15 17:22:30,200 - INFO - iter 14: loss 7.2961, time 11375.04ms, mfu 8.85%
2025-07-15 17:22:41,580 - INFO - iter 15: loss 7.2249, time 11381.17ms, mfu 8.84%
2025-07-15 17:22:52,953 - INFO - iter 16: loss 7.2269, time 11367.24ms, mfu 8.84%
2025-07-15 17:23:04,499 - INFO - iter 17: loss 7.1774, time 11552.13ms, mfu 8.83%
2025-07-15 17:23:15,970 - INFO - iter 18: loss 7.1426, time 11470.53ms, mfu 8.82%
2025-07-15 17:23:27,318 - INFO - iter 19: loss 7.1561, time 11353.34ms, mfu 8.82%
2025-07-15 17:23:38,778 - INFO - iter 20: loss 7.1157, time 11461.83ms, mfu 8.81%
2025-07-15 17:23:50,222 - INFO - iter 21: loss 7.0670, time 11421.45ms, mfu 8.81%
2025-07-15 17:24:01,569 - INFO - iter 22: loss 7.0131, time 11362.17ms, mfu 8.81%
2025-07-15 17:24:12,905 - INFO - iter 23: loss 7.0520, time 11336.44ms, mfu 8.82%
2025-07-15 17:24:24,265 - INFO - iter 24: loss 6.9800, time 11360.09ms, mfu 8.82%
2025-07-15 17:24:35,611 - INFO - iter 25: loss 6.9484, time 11334.74ms, mfu 8.82%
2025-07-15 17:24:46,960 - INFO - iter 26: loss 6.9238, time 11358.49ms, mfu 8.82%
2025-07-15 17:24:58,302 - INFO - iter 27: loss 6.9514, time 11343.68ms, mfu 8.83%
